model,mse,rmse,mae,r2,params,nfe_features
NFE_Light,36.324317932128906,6.026965897707478,4.223743915557861,0.73792994,655841,48
NFE_Full,36.426883697509766,6.03546880511446,4.176603317260742,0.73719,655841,48
Standard,39.30019760131836,6.268986967710043,4.378627777099609,0.71645975,593409,0
Simple,40.56157302856445,6.3687968273893345,4.468506336212158,0.7073593,150273,0
