model_type,mse,rmse,mae,r2
Standard,2.5735743045806885,1.6042363618185098,1.281437873840332,0.8585125803947449
Neural_Feature_Engineering,3.057114362716675,1.7484605693914503,1.407439112663269,0.8319289684295654
NFE_vs_Standard_improvement,-18.78865736556883,0.14422420757294052,0.126001238822937,-0.026583611965179443
